구,고급휘발유,휘발유,경유,실내등유,셀프여부,상표
강동구,0,1589.1,1467.34,1147,일반,SK에너지
강동구,0,1545.48,1370.35,1144.48,일반,SK에너지
강동구,0,1425.8,1246.53,1102.33,일반,SK에너지
강동구,0,1362.06,1172.94,1101,일반,SK에너지
강동구,0,1406.33,1211,1101,일반,SK에너지
강동구,0,1599.35,1416.19,0,셀프,GS칼텍스
강동구,0,1583.1,1403.1,0,셀프,GS칼텍스
강동구,0,1503.23,1317.61,0,셀프,GS칼텍스
강동구,0,1353.3,1177.43,0,셀프,GS칼텍스
강동구,0,1295,1119.84,0,셀프,GS칼텍스
강동구,0,1381.33,1199,0,셀프,GS칼텍스
강동구,1797.03,1597.03,1483.9,1100,일반,GS칼텍스
강동구,1783.45,1583.45,1450.45,1068.97,일반,GS칼텍스
강동구,1710.1,1510.1,1331.9,1041.94,일반,GS칼텍스
강동구,1551.73,1351.73,1161.3,1000,일반,GS칼텍스
강동구,1479.84,1279.84,1093.84,1000,일반,GS칼텍스
강동구,1572,1372,1183.33,1000,일반,GS칼텍스
강동구,0,1596,1457,1200,일반,현대오일뱅크
강동구,0,1576.69,1415.62,1200,일반,현대오일뱅크
강동구,0,1535.61,1355.03,1200,일반,현대오일뱅크
강동구,0,1410.07,1212.17,1125.93,일반,현대오일뱅크
강동구,0,1345,1149,1000,일반,현대오일뱅크
강동구,0,1392.2,1213,1000,일반,현대오일뱅크
강동구,1868.87,1638.9,1476.42,0,셀프,SK에너지
강동구,1788.1,1558.34,1386.9,0,셀프,SK에너지
강동구,1722.61,1493.19,1304.16,0,셀프,SK에너지
강동구,1564.47,1336.33,1151.33,0,셀프,SK에너지
강동구,1495.65,1267.94,1080.61,0,셀프,SK에너지
강동구,1624.47,1360.13,1186.53,0,셀프,현대오일뱅크
강동구,1906,1626,1456.33,0,셀프,SK에너지
강동구,1857.62,1577.62,1393.48,0,셀프,SK에너지
강동구,1774.16,1494.16,1312.87,0,셀프,SK에너지
강동구,1624,1344,1155.67,0,셀프,SK에너지
강동구,1577.06,1297.06,1097.06,0,셀프,SK에너지
강동구,1613.53,1370.2,1170.87,0,셀프,현대오일뱅크
강북구,0,1504.16,1345.13,950,셀프,현대오일뱅크
