"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"A0009705","서울 강남구","대교주유소","서울 강남구 강남대로 640 (신사동)","2020년 12월","SK에너지","일반","1750.00","1550.00","1350.00","0.00"
"A0009712","서울 강남구","대동석유 압구정주유소","서울 강남구 언주로 842 (신사동)","2020년 07월","SK에너지","셀프","1623.00","1453.00","1263.00","0.00"
"A0009712","서울 강남구","대동석유 압구정주유소","서울 강남구 언주로 842 (신사동)","2020년 08월","SK에너지","셀프","1630.74","1453.00","1270.74","0.00"
"A0009712","서울 강남구","대동석유 압구정주유소","서울 강남구 언주로 842 (신사동)","2020년 09월","SK에너지","셀프","1633.00","1453.00","1273.00","0.00"
"A0009712","서울 강남구","대동석유 압구정주유소","서울 강남구 언주로 842 (신사동)","2020년 10월","SK에너지","셀프","1633.00","1453.00","1273.00","0.00"
"A0009712","서울 강남구","대동석유 압구정주유소","서울 강남구 언주로 842 (신사동)","2020년 11월","SK에너지","셀프","1624.00","1435.00","1255.00","0.00"
"A0009712","서울 강남구","대동석유 압구정주유소","서울 강남구 언주로 842 (신사동)","2020년 12월","SK에너지","셀프","1643.13","1451.55","1268.97","0.00"
"A0001225","서울 강남구","대성석유(주)동호주유소","서울 강남구 봉은사로113길 51","2020년 07월","GS칼텍스","일반","1897.00","1797.00","1597.00","0.00"
"A0001225","서울 강남구","대성석유(주)동호주유소","서울 강남구 봉은사로113길 51","2020년 08월","GS칼텍스","일반","1897.00","1797.00","1597.00","0.00"
"A0001225","서울 강남구","대성석유(주)동호주유소","서울 강남구 봉은사로113길 51","2020년 09월","GS칼텍스","일반","1880.00","1781.67","1581.33","0.00"
"A0001225","서울 강남구","대성석유(주)동호주유소","서울 강남구 봉은사로113길 51","2020년 10월","GS칼텍스","일반","1877.00","1777.00","1576.35","0.00"
"A0001225","서울 강남구","대성석유(주)동호주유소","서울 강남구 봉은사로113길 51","2020년 11월","GS칼텍스","일반","1875.33","1777.00","1577.00","0.00"
"A0001225","서울 강남구","대성석유(주)동호주유소","서울 강남구 봉은사로113길 51","2020년 12월","GS칼텍스","일반","1884.42","1786.03","1586.03","0.00"
