"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"A0009707","서울 강남구","뉴서울(강남)","서울 강남구 언주로 716","2020년 03월","SK에너지","일반","2459.77","2179.58","1979.42","1460.00"
"A0009707","서울 강남구","뉴서울(강남)","서울 강남구 언주로 716","2020년 04월","SK에너지","일반","2368.10","2066.57","1885.90","1385.00"
"A0009707","서울 강남구","뉴서울(강남)","서울 강남구 언주로 716","2020년 05월","SK에너지","일반","2330.00","2025.00","1865.00","1260.00"
"A0009707","서울 강남구","뉴서울(강남)","서울 강남구 언주로 716","2020년 06월","SK에너지","일반","2330.00","2025.00","1865.00","1260.00"
"A0009705","서울 강남구","대교주유소","서울 강남구 강남대로 640 (신사동)","2020년 01월","SK에너지","일반","1999.00","1799.00","1599.00","0.00"
"A0009705","서울 강남구","대교주유소","서울 강남구 강남대로 640 (신사동)","2020년 02월","SK에너지","일반","1998.07","1799.00","1599.00","0.00"
"A0009705","서울 강남구","대교주유소","서울 강남구 강남대로 640 (신사동)","2020년 03월","SK에너지","일반","1968.35","1768.65","1568.65","0.00"
"A0009705","서울 강남구","대교주유소","서울 강남구 강남대로 640 (신사동)","2020년 04월","SK에너지","일반","1885.67","1649.00","1449.00","0.00"
"A0009705","서울 강남구","대교주유소","서울 강남구 강남대로 640 (신사동)","2020년 05월","SK에너지","일반","1810.68","1580.03","1380.03","0.00"
"A0009705","서울 강남구","대교주유소","서울 강남구 강남대로 640 (신사동)","2020년 06월","SK에너지","일반","1750.00","1550.00","1350.00","0.00"
"A0009712","서울 강남구","대동석유 압구정주유소","서울 강남구 언주로 842 (신사동)","2020년 01월","SK에너지","셀프","1805.00","1658.00","1505.00","0.00"
"A0009712","서울 강남구","대동석유 압구정주유소","서울 강남구 언주로 842 (신사동)","2020년 02월","SK에너지","셀프","1795.07","1641.45","1499.21","0.00"
"A0009712","서울 강남구","대동석유 압구정주유소","서울 강남구 언주로 842 (신사동)","2020년 03월","SK에너지","셀프","1745.58","1586.10","1457.06","0.00"
"A0009712","서울 강남구","대동석유 압구정주유소","서울 강남구 언주로 842 (신사동)","2020년 04월","SK에너지","셀프","1618.60","1457.73","1330.07","0.00"
"A0009712","서울 강남구","대동석유 압구정주유소","서울 강남구 언주로 842 (신사동)","2020년 05월","SK에너지","셀프","1548.48","1377.52","1214.61","0.00"
"A0009712","서울 강남구","대동석유 압구정주유소","서울 강남구 언주로 842 (신사동)","2020년 06월","SK에너지","셀프","1608.00","1420.33","1249.00","0.00"
"A0001225","서울 강남구","대성석유(주)동호주유소","서울 강남구 봉은사로113길 51","2020년 01월","GS칼텍스","일반","2053.45","1955.06","1755.06","0.00"
"A0001225","서울 강남구","대성석유(주)동호주유소","서울 강남구 봉은사로113길 51","2020년 02월","GS칼텍스","일반","2009.76","1909.41","1709.41","0.00"
"A0001225","서울 강남구","대성석유(주)동호주유소","서울 강남구 봉은사로113길 51","2020년 03월","GS칼텍스","일반","1937.65","1839.90","1639.90","0.00"
"A0001225","서울 강남구","대성석유(주)동호주유소","서울 강남구 봉은사로113길 51","2020년 04월","GS칼텍스","일반","1858.00","1758.00","1558.00","0.00"
"A0001225","서울 강남구","대성석유(주)동호주유소","서울 강남구 봉은사로113길 51","2020년 05월","GS칼텍스","일반","1839.90","1742.48","1545.39","0.00"
"A0001225","서울 강남구","대성석유(주)동호주유소","서울 강남구 봉은사로113길 51","2020년 06월","GS칼텍스","일반","1896.33","1796.33","1596.33","0.00"
"A0010177","서울 강남구","대청주유소","서울 강남구 개포로 654 (일원동)","2020년 01월","SK에너지","일반","2109.00","1909.97","1745.35","1509.97"
"A0010177","서울 강남구","대청주유소","서울 강남구 개포로 654 (일원동)","2020년 02월","SK에너지","일반","2081.19","1884.52","1706.45","1499.00"
"A0010177","서울 강남구","대청주유소","서울 강남구 개포로 654 (일원동)","2020년 03월","SK에너지","일반","2031.83","1820.19","1654.90","1499.00"
"A0010177","서울 강남구","대청주유소","서울 강남구 개포로 654 (일원동)","2020년 04월","SK에너지","일반","1925.33","1680.93","1559.00","1499.00"
"A0010177","서울 강남구","대청주유소","서울 강남구 개포로 654 (일원동)","2020년 05월","SK에너지","일반","1899.00","1662.87","1539.00","0.00"
